epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.925,1.00438,4.36011,1.25209,0.11704,0.10484,0.024,0.01722,0.99879,3.27222,1.26322,0.00332768,0.00332768,0.00332768
2,302.845,1.06989,3.77039,1.28462,0.07711,0.14297,0.04195,0.03128,0.96824,3.05932,1.22463,0.00659507,0.00659507,0.00659507
3,447.765,1.15234,3.6264,1.31747,0.09115,0.14055,0.04134,0.02798,1.23112,3.2329,1.46047,0.00979646,0.00979646,0.00979646
4,593.431,1.20825,3.52564,1.34268,0.06475,0.18065,0.0516,0.03633,1.07637,2.95523,1.2922,0.009703,0.009703,0.009703
5,739.214,1.14082,3.26867,1.30289,0.08252,0.21639,0.07483,0.05318,1.02525,2.82963,1.25483,0.009604,0.009604,0.009604
6,887.628,1.09807,3.06255,1.27947,0.09667,0.21794,0.0886,0.06766,0.94219,2.71751,1.20422,0.009505,0.009505,0.009505
7,1037.51,1.0769,2.92242,1.2596,0.17771,0.21865,0.11482,0.09098,0.88904,2.55163,1.15731,0.009406,0.009406,0.009406
8,1185.86,1.04488,2.82769,1.24286,0.16223,0.25444,0.12899,0.10192,0.87661,2.50999,1.15091,0.009307,0.009307,0.009307
9,1335.78,1.02367,2.73014,1.22647,0.14877,0.24107,0.12746,0.10209,0.88097,2.48776,1.16596,0.009208,0.009208,0.009208
10,1486.13,0.99829,2.65291,1.21258,0.23087,0.27289,0.1602,0.12856,0.84006,2.39203,1.14043,0.009109,0.009109,0.009109
11,1649.7,0.98459,2.60044,1.20847,0.19095,0.27233,0.16537,0.13337,0.84496,2.39723,1.15588,0.00901,0.00901,0.00901
12,1796.54,0.97181,2.54438,1.19528,0.19409,0.32476,0.20217,0.16313,0.80578,2.23887,1.09767,0.008911,0.008911,0.008911
13,1962.62,0.95986,2.49572,1.18807,0.19338,0.31528,0.20213,0.16384,0.80432,2.25017,1.1052,0.008812,0.008812,0.008812
14,2173.73,0.94834,2.45199,1.18285,0.21362,0.30968,0.2159,0.17638,0.76684,2.17063,1.08478,0.008713,0.008713,0.008713
15,2336.71,0.94051,2.40362,1.17237,0.27864,0.32482,0.25619,0.20967,0.76337,2.08411,1.0738,0.008614,0.008614,0.008614
16,2493.61,0.91856,2.34925,1.16449,0.26571,0.32981,0.25876,0.21085,0.75853,2.0774,1.07475,0.008515,0.008515,0.008515
17,2667.23,0.91941,2.33985,1.16622,0.26929,0.33499,0.25883,0.21312,0.75943,2.0645,1.07507,0.008416,0.008416,0.008416
18,2841.42,0.90545,2.29292,1.15583,0.29293,0.34831,0.29317,0.24076,0.7445,2.00455,1.06679,0.008317,0.008317,0.008317
19,2999.84,0.89248,2.25035,1.14721,0.34077,0.32784,0.30251,0.2531,0.72524,1.97803,1.06189,0.008218,0.008218,0.008218
20,3156.04,0.89033,2.21884,1.14574,0.31114,0.38421,0.3155,0.26318,0.72355,1.92844,1.05342,0.008119,0.008119,0.008119
21,3313.06,0.89402,2.19097,1.14598,0.36171,0.38226,0.35113,0.29346,0.71354,1.8688,1.04871,0.00802,0.00802,0.00802
22,3471.99,0.87081,2.13716,1.13269,0.35272,0.39297,0.34876,0.28984,0.71268,1.85861,1.0526,0.007921,0.007921,0.007921
